Channel,Date,Start time,Film Code,Break Code,Advertiser,Brand,Agency,Holding Company,BARB Prog Before,BARB Prog After,Sales House,Major category,Mid category,Minor category,All PIB rel,All PIB pos,Log Station (2010-),Impacts A4+
ITV1 HD,26/03/2024,09:41:27,LBEDISN002020,CB,Walt disney company,Disneyland paris,Zenith uk media limi,Walt disney company,LORRAINE,LORRAINE,ITV SALES,Travel & transport,Holidays/overseas,Overseas resorts,First,1,ITV1 HD London Carlton,88
ITV1 HD,26/03/2024,09:41:47,ANOANGP104020,CB,Google uk,Google pixel 8 phone,Essence global limit,Google uk,LORRAINE,LORRAINE,ITV SALES,Telecoms,Telecoms equipment,Mobile handsets - smartphones,2nd,2,ITV1 HD London Carlton,88
ITV1 HD,26/03/2024,09:42:07,MLLDOPF060020,CB,Unilever uk home & p,Domestos power foam,Mindshare media uk l,Unilever,LORRAINE,LORRAINE,ITV SALES,Household fmcg,Hard surface cleaners,Toilet cleaners/fresheners,3rd,3,ITV1 HD London Carlton,91
ITV1 HD,26/03/2024,09:42:27,ACBLIUK090020,CB,Lidl uk gmbh,Lidl easter,Omd group limited,Lidl uk gmbh,LORRAINE,LORRAINE,ITV SALES,Food,Food brand building,Food & drink - multi product,Middle,4,ITV1 HD London Carlton,91
ITV1 HD,26/03/2024,09:42:47,DAAINSU007030,CB,Insure & go,Insure & go travel insurance,Medialab group limit,Insure & go,LORRAINE,LORRAINE,ITV SALES,Finance,General insurance,Travel & sport insurance,Middle,5,ITV1 HD London Carlton,91
ITV1 HD,26/03/2024,09:43:17,WPNALIL049060,CB,Age uk,Age uk weekly lottery,Medialab group limit,Age uk,LORRAINE,LORRAINE,ITV SALES,Entertainment & leisure,Gambling,Lottery,3rd last,6,ITV1 HD London Carlton,92
ITV1 HD,26/03/2024,09:44:17,PCHPPGP001010,CB,Consorzio tutela gra,Consorzio grana padano cheese,Consorzio per la tut,Consorzio per la tut,LORRAINE,LORRAINE,ITV SALES,Food,Dairy,Cheese - continental,2nd last,7,ITV1 HD London Carlton,86
ITV1 HD,26/03/2024,09:44:27,HASFCPA002030,CB,Fastcashproperty,Fast cash property,Advertising excellen,Fastcashproperty,LORRAINE,LORRAINE,ITV SALES,Property,Property services,General property services,Last,8,ITV1 HD London Carlton,86
ITV1 HD,26/03/2024,09:54:42,AMVMWMT059020,EB,Mars uk,Mars maltesers,Essencemediacom hold,Mars uk,LORRAINE,THIS MORNING,ITV SALES,Food,Confectionery & snacks,Chocolate - countlines,First,1,ITV1 HD London Carlton,93
ITV1 HD,26/03/2024,09:55:02,HOGHZBE665020,EB,H j heinz company,Heinz baked beans,Dentsu uk limited,H j heinz company,LORRAINE,THIS MORNING,ITV SALES,Food,Food cupboard / grocery,Tinned beans/pasta,2nd,2,ITV1 HD London Carlton,86
ITV1 HD,26/03/2024,09:55:22,BURTBUT070010,EB,Butlins skyline,Butlins holiday worlds drtv,Essencemediacom nort,Bourne leisure,LORRAINE,THIS MORNING,ITV SALES,Travel & transport,Holidays uk,Uk holiday resorts,3rd,3,ITV1 HD London Carlton,86
ITV1 HD,26/03/2024,09:55:32,HASFCPA002030,EB,Fastcashproperty,Fast cash property,Advertising excellen,Fastcashproperty,LORRAINE,THIS MORNING,ITV SALES,Property,Property services,General property services,Middle,4,ITV1 HD London Carlton,86
ITV1 HD,26/03/2024,09:56:02,HOGSKSH891020,EB,Skechers,Skechers sport shoes,Wavemaker limited,Skechers,LORRAINE,THIS MORNING,ITV SALES,Clothing & accessories,Footwear,Sports shoes and trainers,Middle,5,ITV1 HD London Carlton,86
ITV1 HD,26/03/2024,09:56:22,TTBGSVO075020,EB,Haleon uk,Voltarol pain relief,Spark foundry,Glaxosmithkline,LORRAINE,THIS MORNING,ITV SALES,Health & wellbeing,Medication,Muscular & rheumatic remedies,3rd last,6,ITV1 HD London Carlton,86
ITV1 HD,26/03/2024,09:56:42,TJUIDHS092030,EB,Media 10,Media 10 ideal home show,Media 10 limited,Media 10,LORRAINE,THIS MORNING,ITV SALES,Entertainment & leisure,Leisure activities,Exhibitions,2nd last,7,ITV1 HD London Carlton,86
